"","H9_E8_r1","H9_E8_r2","H9_L3i_r1","H9_L3i_r2","RUES02_E8","RUES02_L3i"
"ENSG00000160072",2063,779,2072,600,1328,866
"ENSG00000279928",35,28,40,42,0,0
"ENSG00000228037",21,10,5,11,13,1
"ENSG00000142611",2249,1114,1134,2051,1524,4447
"ENSG00000284616",2,2,0,0,2,0
"ENSG00000157911",4202,4179,2688,4042,6384,4553
"ENSG00000269896",239,170,13,38,843,737
"ENSG00000228463",46,16,19,2,15,4
"ENSG00000260972",0,0,2,0,2,0
"ENSG00000224340",0,0,6,0,0,0
"ENSG00000226374",0,0,0,0,8,0
"ENSG00000229280",0,0,0,0,0,0
"ENSG00000142655",4598,5619,3403,4407,7575,6050
"ENSG00000232596",0,0,0,0,0,0
"ENSG00000235054",0,0,0,3,0,0
"ENSG00000231510",0,0,0,0,0,0
"ENSG00000149527",14079,10706,2363,3547,20313,7174
"ENSG00000284739",0,0,0,0,0,0
"ENSG00000171621",2220,2078,2643,2734,4039,3219
"ENSG00000272235",18,4,4,24,10,6
"ENSG00000284694",6,0,0,0,0,0
"ENSG00000224387",33,1,2,0,7,6
"ENSG00000142583",30,18,2,54,51,24
"ENSG00000284674",0,0,0,0,0,0
"ENSG00000224338",0,0,0,0,0,2
"ENSG00000116786",15521,15465,20082,17880,27874,20700
"ENSG00000287727",8,17,32,10,10,11
"ENSG00000286448",16,19,16,15,2,0
"ENSG00000284703",0,0,0,3,1,0
"ENSG00000226457",4,0,0,11,10,1
"ENSG00000173614",1284,1484,695,950,2083,1658
"ENSG00000215720",2,0,0,0,0,2
"ENSG00000241326",0,0,0,0,0,0
"ENSG00000233623",0,0,0,0,0,5
"ENSG00000162592",132,65,21,33,110,123
"ENSG00000204624",5135,4954,1648,3696,9355,4888
"ENSG00000142606",107,91,28,123,10,9
"ENSG00000225931",4,12,0,0,8,3
"ENSG00000171729",885,980,1361,2052,1250,1911
"ENSG00000279457",1106,161,673,161,268,213
"ENSG00000229393",28,5,20,0,10,7
"ENSG00000037637",8208,11257,8467,8506,14113,16559
"ENSG00000287586",108,12,8,14,19,9
"ENSG00000159423",3027,3190,653,1592,6180,4022
"ENSG00000227169",0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0
"ENSG00000011021",4944,7091,14360,7922,11086,7693
"ENSG00000142615",10,2,56,11,7,5
"ENSG00000215704",16,18,45,5,23,31
"ENSG00000157916",7195,7443,5810,4748,12541,9230
"ENSG00000157881",6238,6054,5817,6404,9124,5979
"ENSG00000238290",6,10,8,4,86,19
"ENSG00000225387",0,2,2,2,16,18
"ENSG00000048707",14228,9044,15563,8655,18994,11712
"ENSG00000225196",0,0,2,0,0,0
"ENSG00000162444",164,248,430,568,133,97
"ENSG00000279625",0,0,0,0,0,0
"ENSG00000180758",192,208,483,405,497,388
"ENSG00000184677",4633,3369,5678,4364,10949,4429
"ENSG00000288398",1397,1610,853,1772,2188,1403
"ENSG00000224621",10,10,4,1,19,11
"ENSG00000285833",0,0,0,0,6,5
"ENSG00000131697",3226,2696,1596,1037,6105,5440
"ENSG00000284692",33,46,4,4,24,4
"ENSG00000284745",0,0,0,0,0,0
"ENSG00000280222",34,29,47,12,21,2
"ENSG00000285945",0,0,0,0,0,1
"ENSG00000197921",1886,2426,539,4185,8151,2427
"ENSG00000233755",10,22,0,0,0,0
"ENSG00000233929",2,11,20,23,5,27
"ENSG00000271742",7,0,4,0,0,0
"ENSG00000234166",0,0,0,0,0,0
"ENSG00000235282",0,0,0,0,0,0
"ENSG00000055070",15026,18263,10087,13102,27912,29252
"ENSG00000175087",5172,4190,1925,2227,6207,4579
"ENSG00000157191",3613,3380,2777,3153,4657,5951
"ENSG00000230035",0,1,2,0,0,0
"ENSG00000225643",7,11,39,34,19,19
"ENSG00000284666",81,51,7,4,44,6
"ENSG00000228943",1,0,0,0,0,0
"ENSG00000234397",16,4,0,0,7,0
"ENSG00000284309",4,0,0,0,0,0
"ENSG00000162511",138,70,37,26,96,34
"ENSG00000158014",138,48,18,0,26,22
