"","H9_E8_r1","H9_E8_r2","H9_L3i_r1","H9_L3i_r2","RUES02_E8","RUES02_L3i"
"ATAD3B",2063,779,2072,600,1328,866
"ENSG00000279928",35,28,40,42,0,0
"ENSG00000228037",21,10,5,11,13,1
"PRDM16",2249,1114,1134,2051,1524,4447
"ENSG00000284616",2,2,0,0,2,0
"PEX10",4202,4179,2688,4042,6384,4553
"ENSG00000269896",239,170,13,38,843,737
"RPL23AP21",46,16,19,2,15,4
"ENSG00000260972",0,0,2,0,2,0
"RPL21P21",0,0,6,0,0,0
"LINC01345",0,0,0,0,8,0
"EEF1DP6",0,0,0,0,0,0
"PEX14",4598,5619,3403,4407,7575,6050
"LINC01646",0,0,0,0,0,0
"LINC01777",0,0,0,3,0,0
"ENSG00000231510",0,0,0,0,0,0
"PLCH2",14079,10706,2363,3547,20313,7174
"ENSG00000284739",0,0,0,0,0,0
"SPSB1",2220,2078,2643,2734,4039,3219
"ENSG00000272235",18,4,4,24,10,6
"ENSG00000284694",6,0,0,0,0,0
"ENSG00000224387",33,1,2,0,7,6
"SLC2A5",30,18,2,54,51,24
"LINC02781",0,0,0,0,0,0
"MTCYBP45",0,0,0,0,0,2
"PLEKHM2",15521,15465,20082,17880,27874,20700
"ENSG00000287727",8,17,32,10,10,11
"ENSG00000286448",16,19,16,15,2,0
"ENSG00000284703",0,0,0,3,1,0
"RPL22P3",4,0,0,11,10,1
"NMNAT1",1284,1484,695,950,2083,1658
"ENSG00000215720",2,0,0,0,0,2
"ENSG00000241326",0,0,0,0,0,0
"PGAM1P11",0,0,0,0,0,5
"CCDC27",132,65,21,33,110,123
"DISP3",5135,4954,1648,3696,9355,4888
"MMEL1",107,91,28,123,10,9
"ENSG00000225931",4,12,0,0,8,3
"TMEM51",885,980,1361,2052,1250,1911
"ENSG00000279457",1106,161,673,161,268,213
"ENSG00000229393",28,5,20,0,10,7
"FBXO42",8208,11257,8467,8506,14113,16559
"ENSG00000287586",108,12,8,14,19,9
