"","E5C3_E8","E5C3_L3i","H9_E8","H9_L3i","RUES02_E8","RUES02_L3i"
"ATAD3B",3395,8296,3304,8031,2008,5628
"ENSG00000279928",3,3,10,1,0,0
"ENSG00000228037",1,1,1,0,2,1
"PRDM16",74,48,195,171,49,190
"ENSG00000284616",0,0,0,0,0,0
"PEX10",1043,1671,1900,1515,1056,1113
"ENSG00000269896",18,147,81,95,24,103
"RPL23AP21",0,3,1,3,1,0
"ENSG00000260972",0,0,0,0,0,0
"RPL21P21",0,0,1,1,1,0
"LINC01345",0,0,2,0,0,0
"EEF1DP6",0,0,0,0,0,0
"PEX14",2015,2093,3028,2079,1832,1636
"LINC01646",0,0,0,0,0,0
"LINC01777",0,0,0,0,0,0
"ENSG00000231510",2,2,0,6,0,7
"PLCH2",20,24,57,36,10,80
"ENSG00000284739",0,0,0,0,0,0
"SPSB1",432,110,392,1066,320,594
"ENSG00000272235",0,0,0,0,0,10
"ENSG00000284694",2,0,0,0,0,0
"ENSG00000224387",0,0,4,3,0,1
"SLC2A5",3,2,38,34,1,42
"LINC02781",0,0,0,2,0,0
"MTCYBP45",0,0,0,0,0,0
"PLEKHM2",5315,4732,7770,6408,4771,5311
"ENSG00000287727",7,21,6,0,2,7
"ENSG00000286448",0,0,0,0,0,0
"ENSG00000284703",0,0,2,4,0,1
"RPL22P3",4,4,14,17,4,4
"NMNAT1",250,284,499,204,164,258
"ENSG00000215720",0,3,0,0,0,0
"ENSG00000241326",0,0,0,0,0,0
"PGAM1P11",2,1,4,0,2,0
"CCDC27",30,12,63,1,27,5
"DISP3",375,115,1037,116,377,84
"MMEL1",23,10,82,8,7,8
"ENSG00000225931",2,0,2,0,0,0
"TMEM51",799,1304,1545,1760,527,1055
"ENSG00000279457",169,171,204,145,78,128
"ENSG00000229393",0,1,2,0,0,2
"FBXO42",1468,2274,2554,2073,1274,1901
"ENSG00000287586",0,4,0,6,0,16
"ALDH4A1",2573,3462,5162,1993,2502,2482
"ENSG00000227169",0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0
"CLCN6",2893,3059,4268,2526,1613,2553
"CELA2A",3,0,2,3,0,0
"CELA2B",2,5,19,0,8,0
"RER1",2728,5705,4292,5999,2715,4962
"PANK4",2329,1913,3526,1568,1802,1544
"ENSG00000238290",2,0,7,6,1,0
"ENSG00000225387",5,0,18,0,16,0
"VPS13D",3574,3738,4646,2790,3106,3308
"RPL10P17",0,0,0,0,0,0
"RBP7",103,24,76,31,111,33
"ENSG00000279625",2,0,1,0,0,0
"GPR157",531,158,684,292,283,124
"ZBTB40",2098,4312,3048,3966,1202,5412
"ENSG00000288398",98,189,250,197,96,163
"ENSG00000224621",5,3,2,1,0,1
"ENSG00000285833",1,2,0,0,0,2
"NPHP4",1350,2408,2329,894,480,1017
"ENSG00000284692",0,0,0,0,0,0
"ENSG00000284745",0,0,2,0,0,0
"ENSG00000280222",2,0,10,0,5,4
"ENSG00000285945",0,0,0,0,0,0
"HES5",0,2,14,12,0,8
"ENSG00000233755",0,0,0,0,0,0
"ENSG00000233929",6,4,2,5,17,4
"ENSG00000271742",1,0,0,0,0,0
"ENSG00000234166",0,0,0,0,0,0
"ENSG00000235282",0,0,0,8,0,0
"SZRD1",6080,8140,9022,8710,5349,6518
"PDIK1L",219,333,463,276,210,209
"NECAP2",1680,3304,3107,3936,1470,2945
"ENSG00000230035",0,0,0,0,0,0
"ENSG00000225643",0,0,19,14,10,7
"ENSG00000284666",0,0,0,0,0,0
"ENSG00000228943",0,0,0,0,0,0
