"","E5C3_E8","E5C3_L3i","H9_E8","H9_L3i","RUES02_E8","RUES02_L3i"
"ENSG00000160072",3395,8296,3304,8031,2008,5628
"ENSG00000279928",3,3,10,1,0,0
"ENSG00000228037",1,1,1,0,2,1
"ENSG00000142611",74,48,195,171,49,190
"ENSG00000284616",0,0,0,0,0,0
"ENSG00000157911",1043,1671,1900,1515,1056,1113
"ENSG00000269896",18,147,81,95,24,103
"ENSG00000228463",0,3,1,3,1,0
"ENSG00000260972",0,0,0,0,0,0
"ENSG00000224340",0,0,1,1,1,0
"ENSG00000226374",0,0,2,0,0,0
"ENSG00000229280",0,0,0,0,0,0
"ENSG00000142655",2015,2093,3028,2079,1832,1636
"ENSG00000232596",0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0
"ENSG00000231510",2,2,0,6,0,7
"ENSG00000149527",20,24,57,36,10,80
"ENSG00000284739",0,0,0,0,0,0
"ENSG00000171621",432,110,392,1066,320,594
"ENSG00000272235",0,0,0,0,0,10
"ENSG00000284694",2,0,0,0,0,0
"ENSG00000224387",0,0,4,3,0,1
"ENSG00000142583",3,2,38,34,1,42
"ENSG00000284674",0,0,0,2,0,0
"ENSG00000224338",0,0,0,0,0,0
"ENSG00000116786",5315,4732,7770,6408,4771,5311
"ENSG00000287727",7,21,6,0,2,7
"ENSG00000286448",0,0,0,0,0,0
"ENSG00000284703",0,0,2,4,0,1
"ENSG00000226457",4,4,14,17,4,4
"ENSG00000173614",250,284,499,204,164,258
"ENSG00000215720",0,3,0,0,0,0
"ENSG00000241326",0,0,0,0,0,0
"ENSG00000233623",2,1,4,0,2,0
"ENSG00000162592",30,12,63,1,27,5
"ENSG00000204624",375,115,1037,116,377,84
"ENSG00000142606",23,10,82,8,7,8
"ENSG00000225931",2,0,2,0,0,0
"ENSG00000171729",799,1304,1545,1760,527,1055
"ENSG00000279457",169,171,204,145,78,128
"ENSG00000229393",0,1,2,0,0,2
"ENSG00000037637",1468,2274,2554,2073,1274,1901
"ENSG00000287586",0,4,0,6,0,16
"ENSG00000159423",2573,3462,5162,1993,2502,2482
"ENSG00000227169",0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0
"ENSG00000011021",2893,3059,4268,2526,1613,2553
"ENSG00000142615",3,0,2,3,0,0
"ENSG00000215704",2,5,19,0,8,0
"ENSG00000157916",2728,5705,4292,5999,2715,4962
"ENSG00000157881",2329,1913,3526,1568,1802,1544
"ENSG00000238290",2,0,7,6,1,0
"ENSG00000225387",5,0,18,0,16,0
"ENSG00000048707",3574,3738,4646,2790,3106,3308
"ENSG00000225196",0,0,0,0,0,0
"ENSG00000162444",103,24,76,31,111,33
"ENSG00000279625",2,0,1,0,0,0
"ENSG00000180758",531,158,684,292,283,124
"ENSG00000184677",2098,4312,3048,3966,1202,5412
"ENSG00000288398",98,189,250,197,96,163
"ENSG00000224621",5,3,2,1,0,1
"ENSG00000285833",1,2,0,0,0,2
"ENSG00000131697",1350,2408,2329,894,480,1017
"ENSG00000284692",0,0,0,0,0,0
"ENSG00000284745",0,0,2,0,0,0
"ENSG00000280222",2,0,10,0,5,4
"ENSG00000285945",0,0,0,0,0,0
"ENSG00000197921",0,2,14,12,0,8
"ENSG00000233755",0,0,0,0,0,0
"ENSG00000233929",6,4,2,5,17,4
"ENSG00000271742",1,0,0,0,0,0
"ENSG00000234166",0,0,0,0,0,0
"ENSG00000235282",0,0,0,8,0,0
"ENSG00000055070",6080,8140,9022,8710,5349,6518
"ENSG00000175087",219,333,463,276,210,209
"ENSG00000157191",1680,3304,3107,3936,1470,2945
"ENSG00000230035",0,0,0,0,0,0
"ENSG00000225643",0,0,19,14,10,7
"ENSG00000284666",0,0,0,0,0,0
"ENSG00000228943",0,0,0,0,0,0
"ENSG00000234397",0,0,0,2,2,2
"ENSG00000284309",0,0,0,0,0,0
"ENSG00000162511",17,7,31,17,7,45
"ENSG00000158014",6,20,7,18,8,36
"ENSG00000204138",3722,5125,6515,4643,3630,3884
"ENSG00000233419",0,2,0,0,0,2
"ENSG00000235263",0,0,0,0,0,0
"ENSG00000228176",0,0,0,0,0,0
"ENSG00000231251",0,0,0,0,0,0
"ENSG00000142675",906,980,1663,754,916,1111
"ENSG00000197245",18,125,121,65,58,97
"ENSG00000130772",482,964,1167,899,541,453
"ENSG00000215899",1,19,2,128,0,9
"ENSG00000271398",0,0,2,1,0,0
"ENSG00000225011",0,0,1,1,0,0
"ENSG00000235069",0,0,0,0,0,0
"ENSG00000284676",0,0,0,0,0,0
"ENSG00000237058",13,0,15,1,0,0
"ENSG00000233399",6,0,0,0,0,0
"ENSG00000090020",1747,2777,3043,3302,1541,2729
"ENSG00000157978",1759,4750,1977,4650,1314,3534
"ENSG00000130770",3523,3819,5382,3743,3245,3347
"ENSG00000229044",0,0,1,0,2,1
"ENSG00000162512",4269,3075,9166,4732,4067,3635
"ENSG00000158006",905,895,1533,683,704,767
"ENSG00000214812",0,2,0,11,0,0
"ENSG00000126698",10672,11501,12803,10802,7641,8560
"ENSG00000229447",19,37,46,10,7,16
"ENSG00000229607",0,0,0,0,0,0
"ENSG00000130766",4604,2732,4764,2895,2007,2579
"ENSG00000168528",3296,1177,3962,1121,2167,1317
"ENSG00000196581",346,1547,673,1112,112,993
"ENSG00000169403",10,82,207,144,124,181
"ENSG00000084628",2127,1951,5259,1255,3075,794
"ENSG00000060688",4401,5913,7378,5120,4489,4042
"ENSG00000171612",1300,980,1385,1049,1136,655
"ENSG00000270927",0,0,0,0,0,0
"ENSG00000188910",98,14,39,36,52,40
"ENSG00000230523",0,2,0,0,0,2
"ENSG00000116138",1136,2204,2035,1885,1119,1736
"ENSG00000158161",2587,3814,3789,2551,1751,2759
"ENSG00000142684",0,0,0,0,0,0
