Ganglion Liu,Horizontal/Amacrine Liu,Bipolar Liu,Pan-photoreceptor Liu,Cones Liu,Rods Liu
REEP5,ONECUT2,PRKAR2B,EYS,THRB,SAG
SYT13,ELAVL4,NETO1,TULP1,THRA,ROM1
NRN1,PTF1A,PCP2,SLC24A1,RXRG,REEP6
PFKP,ONECUT3,VSTM2B,RS1,ARR3,PRDM1
PKIA,FOXN4,GRIK1,RP1,SYP,PDE6G
SEZ6L2,LHX9,CA10,RCVRN,SLC17A7,PDE6B
SNAP25,SOX4,VSX1,RBP3,RORB,PDE6A
ADCY1,DIRAS2,KCNG4,PRPH2,RORA,NRL
SNCG,NEUROD4,GRM6,PROM1,PDE6H,NR2E3
DPYSL5,NRXN3,LHX3,PDC,PDE6C,KCNV2
ELAVL2,MYT1L,IRX6,MATK,OPN1SW,GRK1
POU4F2,LRRN3,LHX4,MAOA,ONECUT1,GNAT1
STMN4,CABP1,IRX5,GUCA1B,NEUROD1,FSCN2
STMN2,GAD2,PRKCA,GUCA1A,GUCA1C,ESRRB
RAB33A,PROX1,,FABP7,GNGT2,EPHA8
RBFOX3,TFAP2A,,CRX,GNB3,CNGB1
OLFM1,CALB2,,AIPL1,GNAT2,
ELAVL3,STX1A,,,CNGA3,
ANK2,BHLHE22,,,CABP5,
CNTN2,,,,ABCA4,
EBF1,,,,,
ISL1,,,,,
SLC17A6,,,,,
NEFM,,,,,
GAP43,,,,,
PRPH,,,,,
EBF3,,,,,
NEFL,,,,,
STMN3,,,,,
SYT5,,,,,
NHLH2,,,,,
CD200,,,,,
PFDN4,,,,,
ATOH7,,,,,
POU6F2,,,,,
CORO1A,,,,,
RPF1,,,,,
THY1,,,,,
GNG2,,,,,
