hNRSC Liu,Stem2 Liu,RPC Liu,RPE Liu,PC precursor Liu,PC Liu,RGC Liu,HC/AC Liu,BC Liu,MC Liu,Cone Liu,Rod Liu
MECOM,,RAX,,,EYS,REEP5,ONECUT2,PRKAR2B,DBI,THRB,ABCA4
OTX1,,DCLK1,,,TULP1,SYT13,ELAVL4,NETO1,LGI4,THRA,SAG
BMP7,,NR2E1,,,SLC24A1,NRN1,PTF1A,PCP2,PLP1,RXRG,ROM1
HMGA2,,SEMA5A,,,RS1,PFKP,ONECUT3,VSTM2B,PMEPA1,ARR3,REEP6
MSX1,,PAX2,,,RP1,PKIA,FOXN4,GRIK1,WIF1,SYP,PRDM1
ZIC1,,SIX6,,,RCVRN,SEZ6L2,LHX9,CA10,SPON1,SLC17A7,PDE6G
TGFB2,,COL2A1,,,RBP3,SNAP25,SOX4,VSX1,NFIX,RORB,PDE6B
PCDH9,,MIS18BP1,,,PRPH2,ADCY1,DIRAS2,KCNG4,SLC1A3,RORA,PDE6A
RELN,,MKI67,,,PROM1,SNCG,NEUROD4,GRM6,RLBP1,PDE6H,NRL
COL9A1,,CENPF,,,PDC,DPYSL5,NRXN3,LHX3,GPX3,PDE6C,NR2E3
GJA1,,VSX2,,,MATK,ELAVL2,MYT1L,IRX6,MT3,OPN1SW,KCNV2
HES5,,SOX2,,,MAOA,POU4F2,LRRN3,LHX4,TF,ONECUT1,GRK1
CRYM,,FZD5,,,GUCA1B,STMN4,CABP1,IRX5,CA2,NEUROD1,GNAT1
ASCL1,,PRTG,,,GUCA1A,STMN2,GAD2,PRKCA,,GUCA1C,FSCN2
HES1,,PAX6,,,FABP7,RAB33A,PROX1,,,GNGT2,ESRRB
ID3,,HES1,,,CRX,RBFOX3,TFAP2A,,,GNB3,EPHA8
HES6,,SIX3,,,AIPL1,OLFM1,CALB2,,,GNAT2,CNGB1
CCND1,,HES5,,,,ELAVL3,STX1A,,,CNGA3,
SIX3,,ASCL1,,,,ANK2,BHLHE22,,,CABP5,
CRB1,,DCX,,,,CNTN2,,,,,
FZD5,,DLL3,,,,EBF1,,,,,
HES4,,CRYM,,,,ISL1,,,,,
SOX9,,NES,,,,SLC17A6,,,,,
LHX2,,OTX2,,,,NEFM,,,,,
PAX6,,SOX9,,,,GAP43,,,,,
SIX6,,SPP1,,,,PRPH,,,,,
DCLK1,,,,,,EBF3,,,,,
FGF19,,,,,,NEFL,,,,,
SOX2,,,,,,STMN3,,,,,
VIPR2,,,,,,SYT5,,,,,
SLC17A6,,,,,,NHLH2,,,,,
POU4F2,,,,,,CD200,,,,,
ISL1,,,,,,PFDN4,,,,,
SNCG,,,,,,ATOH7,,,,,
TPPP3,,,,,,POU6F2,,,,,
SCD,,,,,,CORO1A,,,,,
STMN2,,,,,,RPF1,,,,,
SYT13,,,,,,THY1,,,,,
PFKP,,,,,,GNG2,,,,,
STMN4,,,,,,,,,,,
EBF1,,,,,,,,,,,
EBF3,,,,,,,,,,,
RAB33A,,,,,,,,,,,
SYT5,,,,,,,,,,,
TUBB2B,,,,,,,,,,,
DPYSL5,,,,,,,,,,,
FKBP1B,,,,,,,,,,,
MAB21L2,,,,,,,,,,,
POU6F2,,,,,,,,,,,
L1CAM,,,,,,,,,,,
NR2E1,,,,,,,,,,,
ATOH7,,,,,,,,,,,
FSCN2,,,,,,,,,,,
ESRRB,,,,,,,,,,,
KCNE2,,,,,,,,,,,
KCNJ14,,,,,,,,,,,
GUCA1B,,,,,,,,,,,
RORB,,,,,,,,,,,
REEP6,,,,,,,,,,,
PDE6B,,,,,,,,,,,
CYP26A1,,,,,,,,,,,
LGI4,,,,,,,,,,,
PLP1,,,,,,,,,,,
AQP4,,,,,,,,,,,
ALDH1A1,,,,,,,,,,,
NOTCH1,,,,,,,,,,,
METRN,,,,,,,,,,,
ELAVL4,,,,,,,,,,,
ONECUT3,,,,,,,,,,,
PTF1A,,,,,,,,,,,
FOXN4,,,,,,,,,,,
ONECUT2,,,,,,,,,,,
BHLHE22,,,,,,,,,,,
ELAVL3,,,,,,,,,,,
SULF2,,,,,,,,,,,
VSX1,,,,,,,,,,,
SYT2,,,,,,,,,,,
VSTM2B,,,,,,,,,,,
VSX2,,,,,,,,,,,
WFDC2,,,,,,,,,,,
FEZF2,,,,,,,,,,,
CABP1,,,,,,,,,,,
CACNG3,,,,,,,,,,,
PRDM13,,,,,,,,,,,
GAD1,,,,,,,,,,,
STX1A,,,,,,,,,,,
TFAP2A,,,,,,,,,,,
CALB2,,,,,,,,,,,
MYT1L,,,,,,,,,,,
