RPE Liu,Retinal Ganglion Liu,Bipolar Liu,Horizontal Liu,Amacrine Liu,Photoreceptor Liu,Muller Liu,Retinal Ganglion Dorgau,RPE Dorgau,Horizontal Dorgau,Amacrine Dorgau,Bipolar Dorgau,Muller Dorgau,Rods Dorgau,Cones Dorgau
PMEL,PAX6,CHX10,PROX1,PROX1,NRL,MIR9-1HG,SNCG,PMEL,LHX1,GAD1,VSX1,AQP4,NRL,ARR3
TYRP1,POU4F1,CA10,TFAP2A,TFAP2A,ARR3,CLU,NEFL,TYRP1,ONECUT1,TFAP2B,CABP5,SFRP1,NR2E3,PDE6H
MITF,TUBB2A,VSX1,MIR181A1HG,MIR181A1HG,NEUROD1,GPX3,GAP43,MITF,ONECUT2,TFAP2A,GRM6,FTH1,PDE6G,DCT
BEST1,UCHL1,NETO1,ONECUT1,MEIS2,PROM1,FRXB,RBPMS,RPE65,ELAVL3,MEIS2,CADPS,GAPDH,PDE6A,ISL2
CD96,EBF1,IRX6,ONECUT2,PAX6,RCVRN,CA2,SLC17A6,BEST1,ESRRB,NRNX2,NETO1,FRZB,GNAT1,RXR?
ADAM9,ELAVL2,PLXDC1,ONECUT3,CALB2,AIPL1,VIM,PRPH,TTR,TNR,ELAVL3,NEUROD4,GPX3,CNGB1,PDE6C
MYRIP,ISL1,GRIK1,LNP1,,PDC,,POU4F1,CLIC6,CALB1,RBFOX2,ERBB4,CYP26A1,SAG,GNAT2
RAB38,POU6F2,VSX2,TMOD1,,RP1,,POU4F2,COL8A1,ISL1,PAX6,PRDM8,GLUL,PRPH2,OPN1LW
,SNCG,,,,GNB3,,POU6F2,ITGB8,PCDH9,ZNF385D,NFIB,CREB5,IMPG1,OPN1MW
,RBPMS,,,,NR2E1,,ISL1,LINC00276,NAT16,GABRA2,CA10,NFIB,CNGA1,OPN1SW
,,,,,RORB,,NHLH2,PLAC9,CACGNG3,SYNPRC1QL2,IGSF21,RLBP1,RP1,MYL4
,,,,,OPN1LW,,EBF1,PLD5,GFRA2C1QL1,CAMKV,TRPM1,NFIA,PDC,GUCA1C
,,,,,OPN1MW,,EBF3,PRDM16,PVALB,SLC32A1,GNG13,SLC1A3,RHO,CNGB3
,,,,,RHO,,MYC,SCL6A13,CMYA5,LY6H,PLXDC1,APOE,GNB1,GNGT2
,,,,,,,NEFM,MFRP,FRMPD4,GAD2,AANAT,DIO3,GNGT1,GRK1
,,,,,,,NRN1,,,SYT6,TMEM215,CLU,,SLC24A2
,,,,,,,ELAVL2,,,GRIA4,IGF1,VIM,,KCNB2
,,,,,,,KCNC2,,,LHX9,CAMK2B,Kir2.1,,SALL3
,,,,,,,SV2C,,,,TMEM176B,Kir4.1,,CRABP2
,,,,,,,NEFH,,,,,S100A16,,THRB
,,,,,,,CLEC2L,,,,,SOX9,,CRX
,,,,,,,,,,,,CRLBP-1,,
,,,,,,,,,,,,COL9A1,,
,,,,,,,,,,,,GNB11,,
,,,,,,,,,,,,ITM2B,,
,,,,,,,,,,,,CYR61,,
,,,,,,,,,,,,TF,,
,,,,,,,,,,,,HES1,,
,,,,,,,,,,,,SLC1A3,,
,,,,,,,,,,,,CRABP1,,
,,,,,,,,,,,,RGR,,
,,,,,,,,,,,,CD9,,
