Pluripotent,RPESC Liu,hNRSC Liu,Early RPC Dorgau,Late RPC Dorgau,Proliferating RPC Dorgau,T1 Dorgau,T2 Dorgau,T3 Dorgau
NANOG,GJA1,MECOM,FGF19,HES5,MKI67,ATOH7,PTF1A,FABP7
POU5F1,PCDH7,COL9A1,SFRP2,HES4,TOP2A,DLL3,NEUROD4,OTX2
SOX2,RELN,RELN,DAPL1,SIX3,RAX,NEUROD1,PRDM13,NEUROD4
,SLC6A15,PCDH7,ZIC1,FRZB,VSX2,VXN,SOX11,TFF1
,MITF,ZIC1,ID3,FOS,SFRP2,HES6,HIF1A,NEUROD1
,PMEL,CPAMD8,HMGA1,JUN,SOX2,GADD45G,SPATS2L,PCPB4
,,MEIS1,EEF1A1,VIM,HES1,FAM131C,ACKR3,DCT
,,TGFB2,TPT1,SOX2,ID3,MYBL1,BNIP3,NRL
,,,TMSB4X,HES1,HES6,GADD45A,CCK,PI3KR1
,,,MDK,CKB,,NEUROD4,HSPB1,RCVRN
,,,FOXP1,HES6,,PCPB4,PGK1,GADD45G
,,,GN2BL1,SOX9,,INSM1,CD9,CADPS
,,,HNRNPA1,SPP1,,OLIG2,,CD24
,,,,CCND1,,NEUROG2,,AIPL1
,,,,ZFP36L2,,DLL4,,RXRG
,,,,SOX4,,MFNG,,VXN
,,,,RORB,,DLL3,,
,,,,MALAT1,,,,
,,,,MYB,,,,
,,,,ASCL1,,,,
,,,,BTG1,,,,
,,,,HMGB2,,,,
,,,,SFRP1,,,,
