Pluripotent,Early RPC Dorgau,Late RPC Dorgau,Proliferating RPC Dorgau,RPE Dorgau,Muller Dorgau,T1 Dorgau,T2 Dorgau,T3 Dorgau
NANOG,FOXP1,HES4,MKI67,PMEL,AQP4,ATOH7,PTF1A,FABP7
POU5F1,ID3,SIX3,TOP2A,TYRP1,SFRP1,DLL3,NEUROD4,OTX2
SOX2,HMGA1,TCF4,RAX,MITF,FTH1,NEUROD1,PRDM13,NEUROD4
,EEF1A1,SOX9,VSX2,RPE65,GAPDH,VXN,SOX11,TFF1
,TPT1,VSX2,SFRP2,BEST1,FRZB,HES6,HIF1A,NEUROD1
,NACA,BTG1,SOX2,TTR,GPX3,GADD45G,SPATS2L,PCPB4
,GNB2L1,ZFP36L2,HES1,CLIC6,CYP26A1,FAM131C,ACKR3,DCT
,HNRNPA1,FOS,ID3,COL8A1,GLUL,MYBL1,BNIP3,NRL
,SFRP2,ZFP36L1,HES6,ITGB8,CREB5,GADD45A,CCK,PI3KR1
,MDK,JUN,,LINC00276,NFIB,NEUROD4,HSPB1,RCVRN
,FGF19,SOX4,,PLAC9,RLBP1,PCPB4,PGK1,GADD45G
,SIX6,CKB,,PLD5,NFIA,INSM1,CD9,CADPS
,ID1,ACTG1,,PRDM16,SLC1A3,OLIG2,,CD24
,DAPL1,VIM,,SCL6A13,APOE,NEUROG2,,AIPL1
,ZIC1,RORB,,MFRP,DIO3,DLL4,,RXRG
,TMSB4X,CRYM,,,CLU,MFNG,,VXN
,,ID1,,,VIM,DLL3,,
,,SOX2,,,Kir2.1,,,
,,HES1,,,Kir4.1,,,
,,MYB,,,S100A16,,,
,,ASCL1,,,SOX9,,,
,,HES6,,,CRLBP-1,,,
,,HMGB2,,,COL9A1,,,
,,HES5,,,GNB11,,,
,,PAX6,,,ITM2B,,,
,,HES1,,,CYR61,,,
,,CLU,,,TF,,,
,,GLUL,,,HES1,,,
,,CCND1,,,SLC1A3,,,
,,NFIA,,,CRABP1,,,
,,NFIB,,,RGR,,,
,,NFIX,,,CD9,,,
,,SPP1,,,,,,
,,HES5,,,,,,
,,FRZB,,,,,,
,,SFRP1,,,,,,
