Progenitor,Ganglion,HA.cell,Photoreceptor,Bipolar,Muller,Retinal Stem Cell
ASCL1,ATOH7,CALB1,AIPL1,BHL5E22,CA2,COL9A1
DLL3,DLX1,CALB2,CNGA1,CABP5,CAV1,CPAMD8
FGF19,DLX2,CHAT,CNGB1,GRM6,CAV2,DAPL1
GLI1,GAP43,ELAVL4,CRX,LHX4,GLUL,HES1
HES1,ISL1,GAD1,GNAT1,PRDM8,KCNJ10,HES6
LGR5,POU4F1,GAD2,GNAT2,PRKCA,RLBP1,HMGA1
LHX2,POU4F2,ONECUT1,GNGT2,VSX1,SLC1A3,ID3
LIN28B,SHH,ONECUT2,GUCA1A,,APOE,MECOM
PRTG,,PARVA,NR2E3,,VIM,MEIS1
SFRP2,,PROX1,NRL,,CLU,MKi67 
SOX2,,TFAP2A,OPN1SW,,SOX9,PAX6
SOX9,,,OTX2,,,PCDH7
VSX2,,,PDE6B,,,RAX
ZIC1,,,PDE6H,,,RELN
,,,RCVRN,,,SFRP2
,,,RHO,,,SIX3
,,,ROM1,,,SIX6
,,,,,,SOX2
,,,,,,TGFβ2
,,,,,,TOP2A 
,,,,,,VSX2
,,,,,,ZIC1 
,,,,,,ZIC2
,,,,,,CCND1
,,,,,,ASCL1 
,,,,,,HES6
